,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Troms??,EE,LV,LT,FRE
01-01-2015,200.86,185.4,185.4,185.4,185.4,185.4,121.4,135.47,202.71,202.71,202.71,211.58,211.58,211.58,185.4,246.37,246.37,
02-01-2015,196.89,185.99,185.99,185.99,185.99,187.35,37,86.47,205.05,205.05,205.05,214.34,214.34,214.34,187.35,195.47,195.47,
03-01-2015,199.51,179.07,179.07,179.07,179.07,180.98,113.81,115.37,202.36,202.33,202.36,211.49,211.49,211.49,180.98,210.68,210.68,
04-01-2015,209.28,210.25,210.25,210.25,210.25,212.72,156.76,160.35,209.11,208.95,209.11,212.6,212.6,212.6,218.33,218.33,218.33,
05-01-2015,272.03,245.96,245.96,286.15,286.15,306.96,282.78,285.87,259.98,259.98,231.75,245.96,245.96,245.96,306.96,312.24,312.24,
06-01-2015,221.15,222.04,222.04,222.04,222.04,241.49,217.75,225.22,215.81,215.81,215.81,222.04,222.04,222.04,241.49,286.85,286.85,
07-01-2015,227.29,232.69,232.69,236.55,240.06,244.98,217.24,240.06,215.35,215.35,215.35,233.15,233.15,233.15,244.98,286.39,286.39,
08-01-2015,209.56,212.2,212.2,212.2,212.2,222.47,185.65,212.2,202.15,202.15,202.15,214.71,214.71,214.71,222.47,300.5,300.5,
09-01-2015,206.71,211.66,211.66,211.66,211.66,247.17,173,211.66,202.78,197.94,202.78,212.69,212.69,212.69,247.17,293.73,293.73,
10-01-2015,197,206.85,206.85,206.85,206.85,213.45,111.08,206.85,192.89,191.98,192.89,207.03,207.03,207.11,215.67,288.45,288.45,
11-01-2015,192.04,197.6,197.6,197.6,197.6,202.75,27.79,197.6,190.89,188.01,190.89,204.03,204.03,204.03,202.75,292.08,292.08,
12-01-2015,217.92,219.66,219.66,219.66,219.66,373.7,83.46,214.3,210.97,197.28,209.79,219.81,219.81,219.81,373.7,383.76,383.76,
13-01-2015,220.73,246,246,246,246,358.98,173.9,229.56,195.28,195.28,195.28,246,246,246,358.98,379.77,379.77,
14-01-2015,220.84,222.43,222.43,222.43,222.43,253.61,182.88,195.02,214.74,205.51,212.52,222.87,222.87,222.87,253.61,378.06,378.06,
15-01-2015,208.94,216.75,216.75,216.75,216.75,263.93,172.36,189.97,202.17,194.11,202.17,217.1,217.1,217.1,263.93,302.74,302.74,
16-01-2015,207.95,213.01,213.01,213.01,213.01,246.87,151.02,194.52,201.63,197.68,201.63,215.19,215.19,215.19,246.87,297.25,297.26,
17-01-2015,208.83,212.15,212.15,212.15,212.15,212.41,202.64,214.88,203.14,203.06,203.14,213.24,213.24,213.24,212.41,289.21,289.21,
18-01-2015,209.24,209.45,209.45,209.45,209.45,209.45,201.46,209.45,208.13,208.13,208.13,212.71,212.71,212.71,209.45,240.08,240.08,
19-01-2015,255.44,233.01,233.01,244.04,253.54,285.41,255.53,255.53,244.04,244.04,237.68,233.01,233.01,233.01,285.41,300.88,300.88,
20-01-2015,264.17,250.77,250.77,260.96,264.04,272.18,300.62,301.14,221.97,221.97,221.97,250.77,250.77,250.77,272.18,300.58,300.58,
21-01-2015,289.07,292.55,292.55,298.46,306.28,302.27,307.42,310.12,219.73,219.73,219.73,292.55,292.55,292.55,302.27,317.97,317.97,
22-01-2015,295.4,303.57,303.57,305.84,311.59,309.22,311.05,313.02,230.12,230.12,230.12,303.57,303.57,303.57,309.22,328.16,328.37,
23-01-2015,294.47,286.55,286.55,295.06,300.5,301.59,293.95,303.16,288.63,288.63,288.63,286.55,286.55,286.55,301.59,325.18,325.18,
24-01-2015,211.61,212.7,212.7,212.7,212.7,215.91,205.53,212.7,209.89,209.73,209.89,214.14,214.14,214.14,215.91,276.98,276.98,
